author,comment,date
@NAGESHB-h6x6g,M b u vast collsge,2026-02-22T11:28:02Z
@AyushNegi-r5e,Nice college (greetings from alumini @sai),2026-01-16T10:14:19Z
@RaghavendraKethepalli,Bro nek placement vachaindha,2025-12-15T17:59:26Z
@Truthtttttt,"Idhi oka lavada lo univeristy. A mohan babu oka broker na koduku, akkada students dhaggara ekkuva fee lu dhengastharu..",2025-10-10T08:24:35Z
@PJithendraAchariJithendra,Sree vudyanekantan degree college block chapaledu plz chepandi,2025-10-06T14:19:44Z
@ASWINIKEERTHIJogi,Ncc vunda anna,2025-08-07T05:39:23Z
@UnknownUnknown-q9l,anna 55k rank vachindhi mohan Babu lo seat vasthada cse csm csd csc cad bcb category svu region,2025-08-05T15:11:33Z
@Sasuke0287,אוניברסיטת PV נרסימה ראו. מוהן באבו הוא גנב. מדובר בכסף של פוליטיקאים ותעשיינים הודים רבים.,2025-07-30T02:12:02Z
@Pr1yaaaa,😭😭 what in the ancient ahh lang is ts,2025-10-29T15:57:04Z
@FraudBokada,Bro mbu lo gym undha,2025-07-26T18:11:48Z
@vamshibandaru9322,Bro zym leda bro😖,2025-06-28T08:28:44Z
@SailajaNancy,Nijam ga na comment ki reply ivvakapothe miru nak em thisukovallo ardham kadhu nenu bsc nursing cheyalli anukuntuna clg dekho vallu nak phone chesaru bsc nursing without eapcet or ncet rayakunda miru cheppe clg lo join avvachu anta nenu Chella dhuram nundi akkada join avutha akkada hostels kuda untaya unna kuda phone allow chesthara class lo allow undakapoyina hostel lo phone allow untadha chepandi please,2025-06-26T12:21:26Z
@kaleshashaik3417,Mohanbabu university loo present final year cse students vuntey okka riply evvara please,2025-06-25T07:50:47Z
@damandeepjohar9176,Please share your contact details for possible collaboration,2025-05-13T05:47:52Z
@Youngmonster.,"Bro evaru ithi mohan babu college join avali Anukuntaro manukodi please chetha college no placements,No proper faulty",2025-05-06T08:59:41Z
@Dreamworldwithnature,Why please cheppandi nenu andulo CSE join avudham anukuntunna eapcet dvara,2025-06-21T17:41:26Z
@ysree325,మోహన్ బాబు కాలేజీకి ఇంటర్వ్యూ కి ఆన్లైన్లో చేశారు అక్కడ వాళ్ళు నువ్వు తెలుగులో మాట్లాడుతున్నావ్ అవసరం లేదు అని చెప్పారు నాకు ఎంత అవసరమైతే ఉద్యోగానికి ఎల్లుంటాను నేను అక్కడికి తెలుగు మాట్లాడకుండా ఎలా ఉంటారు ఫస్ట్ ఇంగ్లీషులోనే మాట్లాడవు పుట్టగానే టాలెంట్ ని బట్టి జాబ్ ఇవ్వాలి భాషను బట్టి కాదు జాబ్,2025-03-26T16:15:23Z
@manohar501,తెలుగు లో సినిమాలు చేయకు అని చెపాపాల్సింది వానర్ కి 😂😂😂,2025-05-30T10:16:20Z
@Prasadnaidu-n9x,Without medical college how be a university 😂😂,2025-03-19T11:54:10Z
@NikhithaBhyri,Who said there is no medical college in MBU? So many students are studying nursing,2026-03-01T17:20:55Z
@sureshg8493,Orey nee kangaaru kaakuletikella slow ga matladursa,2024-12-25T16:39:24Z
@SaijitendraAkkala,Ar....p....la...,2024-12-13T15:17:45Z
@SaijitendraAkkala,Adhi na lavadha lo collage gurunchi nevu oka pattadhamuu okatii....,2024-12-13T15:17:20Z
@Hafeez-t6q,Pharmacy and pharmd unda?,2024-10-24T10:00:42Z
@mindcodemaster9347,Bro attendance matladukovacha,2024-10-20T15:43:12Z
@shinchan_halwa,❤da clg in entire world,2024-09-15T09:22:59Z
@Jasminetamma,Baboiii anna naaku aah clg lo seat vachindhi 😢😢,2024-12-11T10:37:40Z
@lasya_sree-6,​@Jasminetammabro miku rank entha vachinte aa clg lo join ayaru,2025-06-23T12:06:20Z
@sunny123gg,​@Jasminetammaentha rank ke bro,2025-07-18T03:40:23Z
@priyadarshinigayatri2466,​@lasya_sree-6Naku ee cllg lo seat vachhindi,2025-07-25T11:42:40Z
@lasya_sree-6,​@priyadarshinigayatri2466entha rank miku,2025-07-26T05:12:00Z
@MS.Hemanth,Bro new academic block miss chesav bro,2024-08-30T17:56:28Z
@GmgunasekharNaidu,Bro mbu university lo student login website chepandhi bro,2024-08-29T12:20:52Z
@anuanusha4496,Fee reimbursement vastey fee pay cheyala,2024-08-18T16:33:50Z
@Durga2-d1n,Bro paramedical campus chupinchalaa,2024-08-13T13:01:07Z
@pavanmekala8726,Phone allow unda,2024-08-08T03:34:16Z
@Bhavani-m4j,Phone lekunda vundadu😂,2024-08-09T09:30:32Z
@sikhakolliajaykumar220,Bro naku seat vastunda bro naku 13974 rank nenu OC ews,2024-08-05T17:55:20Z
@Religare-ir5nn,EDUCATION ?,2024-08-02T09:52:18Z
@SupremeStar330,Worrest college yevvaru cherakandi,2024-07-24T11:58:01Z
@muralinaren,Food machine edho undha bhayya ?,2024-07-22T15:10:15Z
@saicharanvadla8896,"Acharya movie lo antaru PADHAGATTAM, 
E video lo antaru Mohana mantra",2024-07-21T12:23:27Z
@djagadeshwararao3031,Skathi movie lo antaru Egypt sakthi peetham😂😂,2024-11-03T15:45:44Z
@yashwanthbandaru1708,College  tour kana MohanMantra gurunchi chepav bro,2024-07-17T13:43:27Z
@Famousviewchannel,Worst,2024-07-15T07:25:23Z
@RamagiriSaif,Tappu chesa join ayyi vere.,2024-07-19T04:59:27Z
@Everything_you_love,Bro girls ki campus lo hostel facilities vunaaya??,2024-07-13T00:27:35Z
@suneethakurmana26,Anna clg lo education ala undho cheppava plz,2024-07-12T06:35:11Z
@Munawark10-x4o,Worst bro education.local collages melu denikante.placements highest 15lakhs e.tappuga 60 dabba kottukuntaru.bee 4 years m kurchi prevalent join avvu,2024-07-19T04:24:53Z
@RamagiriSaif,😂nee future m ee,2024-07-19T04:59:01Z
@k.upendrauppi9116,Broo mba join avvaliii clg loo placements vasthaya broo clg loo  naku evaru theylidu chepu brooo,2024-07-09T10:20:57Z
@SupremeStar330,Nuvvu cheramaaku bro,2024-07-24T11:59:22Z
@nallachokka_memes,Bro clg ela untadhi?,2024-06-26T15:38:25Z
@hemanthsaighjjkl,Waste clg,2024-07-01T14:31:47Z
@nallachokka_memes,@hemanthsaighjjkl tq bro,2024-07-01T14:34:49Z
@shannulabs,Bro campus placements vunnaya,2024-06-26T10:36:56Z
@yogi9711,Anime cartoon kadu bro👍,2024-06-24T10:19:13Z
@rajeshkummar2897,Nuvu ye group bro,2024-06-18T09:49:07Z
@let_us_compare,Fee yelavundhi,2024-06-17T16:01:34Z
@SupremeStar330,Fees full education nill,2024-07-24T12:00:32Z
@ThapetaAnuradha,bro ee college lo b pharmacy ki rank entha ravaliiii,2024-06-16T17:44:07Z
@RdVlogs-br6xl,Bro campus lo phones allow ledha bro eppudu,2024-06-16T11:51:47Z
@SupremeStar330,Ledhu,2024-07-24T11:59:49Z
@Gds.8800,Where is mba department?,2024-05-28T15:59:52Z
@dstatus8414,Bro MBA ki ee university bagundhaa??,2024-05-09T08:30:23Z
@ndevachandnaik,"enni saarulu so ,so ,so ani cheptav ra!!",2024-05-06T10:42:25Z
@rbg_yt3500,Broo btech ye kaakunda aa clg lo degree kooda undha?,2024-04-08T02:40:47Z
@PushpaVeerabhadra,Uniform untunda? Anna ...,2024-04-05T09:39:35Z
@dakshithgamer3800,Ha undhe bro,2024-04-08T08:35:00Z
@Everything_you_love,​@dakshithgamer3800Bro girls ki hostels vunaaya campus loney??,2024-07-13T00:26:30Z
@PushpaVeerabhadra,"College fee structure and hostel fees 
Best group cheppandi Anna pls",2024-04-05T09:37:21Z
@Raonegione-cd7dr,na modda mohan mantra😂,2024-03-28T04:36:35Z
@yaswanthminnu2308,Fees gurinchi cheppaledu bro,2024-01-22T02:33:37Z
@priyak547,Bro thanks 😊... Old memories,2024-01-17T20:20:02Z
@k.sivakumarsiva4534,Vadi over action thatukolem,2024-01-15T05:01:18Z
@k.sivakumarsiva4534,Student coordinator vadu oka waste na koduku,2024-01-15T05:00:43Z
@k.sivakumarsiva4534,2023 mohan mantra utter flap,2024-01-15T04:58:56Z
@gamingwithmohith8628,Super 🎉🎉🎉❤❤,2024-01-05T04:27:19Z
@Saiyadav812,Yakada cld,2023-12-31T08:48:31Z
@nithyavenky9820,Soo nice Maa 👌👍💕💕,2023-11-24T08:36:12Z
@Nithishch06,Anna neeku mee Amma gaaru Vasa akkuvaga posinattundhi gukka tippukokunda matladutunnav😯😯😯,2023-11-23T09:22:41Z
@sampathguptaborigi5107,"rai enni sarlu cheputhav bro, aye jude vasthundadu ani, btw taking is awesome",2023-11-22T17:52:50Z
@durgaprasadnaidu3723,"library south aisa largest kadhu bro
ap lo kl is the bigest",2023-11-20T17:33:06Z
@krishnanaik1946,Great work tammudu...👏👏,2023-11-20T10:30:07Z
@svvardhan1997,Oka doubt mohan babu leda manchu family movies ni forced chupistara,2023-11-20T08:20:33Z
@Tirupathollu,No😂😂,2023-11-20T08:25:12Z
@svvardhan1997,"@Tirupathollu   son of india collection Vele icharu ani doubt undi 
Oka interview chei  vachu kada manchu family movies chustara ani akkada student toh 😅",2023-11-20T08:26:08Z
@mohankaruparthi8049,Good production work🙌,2023-11-20T04:49:00Z
@viru-34567,Bro placements ala unnai clg lo,2023-11-19T16:30:31Z
@SathishKumar-u7x3z,Mm ni promot chestunnav kada ra bro clg chupista ani cheppi 😂,2023-11-18T15:31:56Z
@SathishKumar-u7x3z,Lovda untadi college loo,2023-11-18T15:22:35Z
@prabhasnavi,Paramedical undha bro,2023-11-14T14:55:25Z
@vardhanntr6989,Mediacal block Leda bro,2023-11-14T04:39:46Z
@mohansai1798,University ah 😅😅,2023-11-09T08:51:46Z
@kapudharmareddy4156,Super.,2023-11-08T10:44:35Z
@Yaswanthav,Physiotherapy college kuda e campus lone vuntunda bro?,2023-11-08T09:26:12Z
@shinchan_halwa,Wasted my 4 years in vidyanikethan motham scamule 😂 hope u also understood,2023-11-04T18:55:26Z
@NiharikaVijay206,Fee baga nokkestharu kadha 😂😂,2023-11-21T11:28:43Z
@shinchan_halwa,@NiharikaVijay206 anthega🤣,2023-11-21T11:33:32Z
@mindcodemaster9347,Bro attendance matladukovacha,2024-10-20T15:42:55Z
@shivasai-1-q5l,nice video,2023-11-02T23:56:02Z
@pendyalaparesh5430,Nuvu ah chetna  uncle student vaa,2023-11-01T14:13:19Z
@Anusha-b3f,What about agriculture in mbu University bro,2023-10-31T06:59:56Z
@VijaySaiMinuku,No agriculture,2023-11-16T02:22:07Z
@Sirisha-kk9ki,Yes agriculture bsc is available in the university,2023-11-22T16:59:16Z
@Lakshmi3339-db9tm,​@Sirisha-kk9kiagriculture is good or bad in MBU,2024-06-25T19:29:33Z
@chanducs9980,"Circular vasthe Chalu — me nd bois touting ,TOMORROW IS HOLIDAY 😅😂😂😅",2023-10-31T06:57:40Z
@keerthanakeerthi7635,2019 lo nenu vela anna akadiki ❤ very beautiful clg,2023-10-27T18:21:43Z
@SupremeStar330,Clg Bane undhi lopala anthe dolla em ledhu teaching sariga ledhu,2024-07-24T11:59:03Z
@chandanamakaraju149,Miss you so much my college😢,2023-10-27T15:18:27Z
@Everything_you_love,"I heard it's very strict, Is it? Or we can enjoy a Little bit??",2024-07-13T00:24:48Z
@Everything_you_love,And what about girls hostels..?? Please share with me if u know about it..pleasee,2024-07-13T00:25:48Z
@ktgvardhan8433,Anna idhi enni acres,2023-10-26T00:35:36Z
@indhu_reddy,Bro nenu vachinappudu meeru photoshoot chesthunaru nenu chusa meeru Saturday chesaru ga photoshoot,2023-10-25T15:05:13Z
@KarthikLike-w8e,Every year chasta ra mohan mantra,2023-10-25T03:25:42Z
@mass.marri-3,Tirupati crackers video,2023-10-23T18:33:56Z
@mass.marri-3,Tirupati crackers video,2023-10-23T18:33:46Z
@mass.marri-3,Tirupati crackers video,2023-10-23T18:33:37Z
@mass.marri-3,Tirupati crackers video,2023-10-23T18:33:26Z
@mass.marri-3,Tirupati crackers video,2023-10-23T18:33:17Z
@mass.marri-3,Tirupati crackers video,2023-10-23T18:33:07Z
@HemaMudhiraj-te6yo,Bro crackers,2023-10-23T12:06:20Z
@DevilGaming-xw5ee,Legends who saw zoro and gojo like here❤,2023-10-22T16:19:24Z
@YYVijay,Bro tirupathi lo crackers prices full details upload bro please,2023-10-21T10:47:13Z
@preethamdoddala,Bro blueland water park tour ?,2023-10-20T05:28:07Z
@Tirupathollu,Coming soon,2023-10-21T10:59:22Z
@preethamdoddala,@Tirupathollu konchum fast ga petandi bro,2023-10-21T11:15:44Z
@yakobufacts6695,Anna diwali Crackers best shop in tirupati,2023-10-19T19:30:31Z
@NThirimalaThejaReddy,Bro Diwali crackers shop tooor,2023-10-18T09:13:15Z
@Tirupathollu,Soon....!!,2023-10-18T14:37:08Z
@jyothiradithya4419,Bro wating for blue land water park,2023-10-18T04:04:32Z
@Tirupathollu,Coming very shortly!!,2023-10-18T14:37:22Z
@ChallaHEMANTHKUMAR,Anna crackers video tirupati,2023-10-18T03:49:51Z
@Tirupathollu,Soon!!,2023-10-18T14:37:30Z
@nishanthchowdary5115,Higher purpose University 😂,2023-10-15T17:12:06Z
@sai.kundeti,Super raja.. More power to you 🔥🔥🔥🔥🔥,2023-10-15T16:27:43Z
@sai1234g24,is family allowed to attend mohan mantra? Or only students can attend,2023-10-15T15:32:46Z
@santhosh_manku,yes it is allowed,2023-10-17T09:02:49Z
@sasikiranraja,Hi Brother Sasi from Tirupati 👍🏼 Today Information About Mohan Babu University Super Brother 💪🏼👌🏼♥🙏🏼,2023-10-15T15:23:38Z
@Dileepixels,Join ayyava ( Sachave ),2023-10-15T14:59:56Z
@AmarSettipalli,Y bro,2023-10-25T16:16:35Z
@jagdishdev3459,😂😂 why vro???,2023-11-15T04:27:32Z
@SathishKumar-u7x3z,​@AmarSettipalliwaste clg bro lopala unde valani adugu reality cheptaru,2023-11-18T15:29:59Z
@sankurathridevakesh4227,Why bro😂,2024-07-12T04:51:19Z
@Bhavana_foods,Em bagodha anna😢,2024-07-12T10:47:21Z
@Krish82,Chief guest Mohan babu uncle?,2023-10-15T14:34:15Z
@CodeWithPraneesh,Drone use chesinte inka bagundedi bro❤❤❤😊,2023-10-15T14:27:39Z
@saidapetaameer1338,fasak conteen kadha name change chesesara,2023-10-15T13:47:01Z
@saidapetaameer1338,3:19 lo mca and mba block middle block lo,2023-10-15T13:45:35Z
@kothapallivinaykumar5581,Bro mca ki mbutpu2 baguntada bro and hostel fee entha undochu bro,2023-11-22T16:03:20Z
@smileyqueen7575,Nice  video👍,2023-10-15T13:32:52Z
@sattikasturi1545,😍😍,2023-10-15T13:16:26Z
@naarinja_naveen,The best video ❤,2023-10-15T13:10:22Z
@eswerkoneti3291,Super,2023-10-15T13:09:33Z
